"","scenario","decade","Region","RegionCode","s1","s2","s3","s4","s5","gQuints","gRao"
"1","SSP4",2015,1,"USA",4.01684594264502,9.68822458541689,15.4436422323351,23.0718763394204,47.7794109001826,40.3635126676315,40.976131
"2","SSP4",2025,1,"USA",3.01280504868411,8.84196397153743,15.0134137206196,23.1930570330941,49.9387602260648,43.2812013665272,43.938103
"3","SSP4",2035,1,"USA",2.30807035138208,7.90769712207763,14.4645640866375,23.1550396147616,52.1646288251412,45.9841837760809,46.68211
"4","SSP4",2045,1,"USA",1.81284333642227,6.96520123440377,13.8714048929712,23.0248914912845,54.3256590449183,48.4341286695491,49.169239
"5","SSP4",2055,1,"USA",1.43621853448302,5.98912520348605,13.2321792780726,22.8321276260104,56.5103493579479,50.7965056277817,51.567471
"6","SSP4",2065,1,"USA",1.13102968866794,4.93379641592103,12.5223828847152,22.5803000815355,58.8324909291603,53.2197704586397,54.027515
"7","SSP4",2075,1,"USA",0.877052643356306,3.76301119987419,11.7194507753889,22.2649207072545,61.3755646741261,55.799573427568,56.646473
"8","SSP4",2085,1,"USA",0.666160538498917,2.45432218032557,10.8085844860653,21.8813289104956,64.1896038846147,58.5895573689606,59.478802
"9","SSP4",2095,1,"USA",0.494411643504777,0.997677417840213,9.78321262185599,21.4275664122638,67.2971319045352,61.6141318065938,62.549282
"10","SSP4",2105,1,"USA",0.494411643504777,0.997677417840213,9.78321262185599,21.4275664122638,67.2971319045352,61.6141318065938,62.549282
"11","SSP4",2015,2,"EUR",8.47382650253571,13.3530973611887,18.1148266247592,23.3155997537631,36.7426497577533,26.6000595612038,30.9816491312583
"12","SSP4",2025,2,"EUR",8.10076648960609,13.1565370653114,17.9995828447452,23.4189622971389,37.3241513031984,27.4836779436048,32.3612331417831
"13","SSP4",2035,2,"EUR",7.67669759862035,12.9000822031368,17.8373781434387,23.5461571871818,38.0396848676223,28.5488198088195,33.9836113137348
"14","SSP4",2045,2,"EUR",7.21656132429218,12.6229882543536,17.6546650348713,23.6555898002616,38.8501955862213,29.7199480279065,35.7150059561066
"15","SSP4",2055,2,"EUR",6.75348406487514,12.3129422118875,17.3960477380791,23.7655388570071,39.7719871281512,30.9958411086687,37.5551305646851
"16","SSP4",2065,2,"EUR",6.29165246936618,11.9622528234802,17.1042246890263,23.8459339161044,40.795936102023,32.3568993431751,39.4977601009243
"17","SSP4",2075,2,"EUR",5.8401222388333,11.5354179694273,16.8133419878461,23.8707647892902,41.940353014603,33.8143233485609,41.5167421927186
"18","SSP4",2085,2,"EUR",5.40730900555299,11.0345541131622,16.5173953829398,23.8437887897452,43.1969527085999,35.3554088330707,43.604171372244
"19","SSP4",2095,2,"EUR",4.99900364725468,10.4946624933023,16.1921475113868,23.7881562074996,44.5260301405567,36.9390186803205,45.7401248059685
"20","SSP4",2105,2,"EUR",4.80381347695989,10.211154620004,16.0105255043611,23.7561196998661,45.2183866988089,37.7496446094241,46.8280418245747
"21","SSP4",2015,3,"JPN",7.18970938563603,12.5879437639863,17.5284113515691,24.0349484174269,38.6589870813817,29.7542240179727,32.1841425797
"22","SSP4",2025,3,"JPN",6.81228313169878,12.3567784788494,17.446765583612,24.1502180756623,39.2339547301775,30.6547131175081,33.1581713278
"23","SSP4",2035,3,"JPN",6.44107338007872,12.1025894247843,17.3479430734545,24.2560114563712,39.8523826653113,31.5904162408208,34.1702899001
"24","SSP4",2045,3,"JPN",6.0843820893398,11.8303242679981,17.2336450807218,24.3497543403129,40.5018942216274,32.541781734756,35.1993499315
"25","SSP4",2055,3,"JPN",5.74803539252516,11.5454180067913,17.1064204498922,24.4301945417013,41.16993160909,33.4914275872158,36.2265498846
"26","SSP4",2065,3,"JPN",5.46100038929906,11.2781410875044,16.9811839562255,24.4920235995769,41.7876509673941,34.346873467305,37.1518568984
"27","SSP4",2075,3,"JPN",5.18541835361349,10.9982568359839,16.8448799824687,24.5448131443248,42.4266316836091,35.2115931873328,38.0871951127
"28","SSP4",2085,3,"JPN",4.89157402826884,10.671860524449,16.680239492925,24.593203148909,43.1631228054482,36.1857760715274,39.1409359471
"29","SSP4",2095,3,"JPN",4.62413067378832,10.3467603468737,16.5110427381395,24.6293293480934,43.888736893105,37.1247125759412,40.1565519589
"30","SSP4",2105,3,"JPN",4.49435397201179,10.1784146243351,16.4216291399015,24.6438684189792,44.2617338447725,37.6000854160662,40.6707467588
"31","SSP4",2015,4,"RUS",8.15010779640806,12.8766440049541,17.3457336351683,23.1829282638747,38.4445862995948,28.3580965061176,41.3915591429
"32","SSP4",2025,4,"RUS",7.76176513306167,12.6310824266332,17.2502365920127,23.2834344274357,39.0734814208568,29.3103138305571,42.7814182857
"33","SSP4",2035,4,"RUS",7.37649136238092,12.3618765411462,17.1375202742962,23.3751132192428,39.7489986029339,30.303300463681,44.2307844286
"34","SSP4",2045,4,"RUS",6.96291845170311,12.0414012447926,16.9943982830818,23.4636370095637,40.5376450108588,31.428675553233,45.8733851429
"35","SSP4",2055,4,"RUS",6.55036300388042,11.6853351038448,16.8260711426613,23.5405206785366,41.3977100710769,32.6199518836339,47.6121754977
"36","SSP4",2065,4,"RUS",6.19386102985859,11.3447663341593,16.6575148205416,23.5966343044558,42.2072235109846,33.7114371730194,49.2053105623
"37","SSP4",2075,4,"RUS",5.90494704633439,11.0438015423778,16.5033772428368,23.6342715838858,42.9136025845652,34.6431124471879,50.5651864695
"38","SSP4",2085,4,"RUS",5.66636408520127,10.7767071004696,16.3630527807195,23.6595247016213,43.5343513319884,35.4475168378904,51.7392974295
"39","SSP4",2095,4,"RUS",5.45116392005651,10.5201071362362,16.2254636870799,23.6773788127658,44.1258864438617,36.202686689656,52.841545515
"40","SSP4",2105,4,"RUS",5.35254861474184,10.3972135364289,16.1586853989507,23.6838941980731,44.4076582518055,36.5587599743086,53.3612711044
"41","SSP4",2015,5,"NRE",5.06043262198977,9.23894627148886,14.5023436048737,23.9325780331199,47.2656994685278,39.6416661818828,30.2306426886719
"42","SSP4",2025,5,"NRE",4.91175034208944,9.14548424638824,14.2890713673971,23.8501917810424,47.8035022630828,40.1952845506563,31.3897046373418
"43","SSP4",2035,5,"NRE",4.75139198973782,9.04573203566963,14.0931045422747,23.7369477553084,48.3728236770095,40.7736316376729,32.5968779800839
