"","scenario","decade","Region","RegionCode","s1","s2","s3","s4","s5","Gini"
"1","lessInequality",2015,1,"USA",4.01684594264502,9.68822458541689,15.4436422323351,23.0718763394204,47.7794109001826,0.403635127963648
"2","lessInequality",2015,2,"EUR",8.47382650253571,13.3530973611887,18.1148266247592,23.3155997537631,36.7426497577533,0.266000585359977
"3","lessInequality",2015,3,"JPN",7.18970938563603,12.5879437639863,17.5284113515691,24.0349484174269,38.6589870813817,0.297542263073732
"4","lessInequality",2015,4,"RUS",8.15010779640806,12.8766440049541,17.3457336351683,23.1829282638747,38.4445862995948,0.28358099432838
"5","lessInequality",2015,5,"NRE",5.06043262198977,9.23894627148886,14.5023436048737,23.9325780331199,47.2656994685278,0.396416675964167
"6","lessInequality",2015,6,"CHN",6.29544132647623,12.4640376746833,17.6192610575579,24.010171179164,39.6110887621186,0.312709723127097
"7","lessInequality",2015,7,"IND",7.12983827556108,11.0337246491672,14.890559287227,20.8955627991357,46.050314988909,0.35081114055678
"8","lessInequality",2015,8,"MEA",3.69853454146554,8.89309488818752,13.5538551968842,22.2550115655267,51.5995038079361,0.43665538
"9","lessInequality",2015,9,"AFR",2.979788600074,6.28861570733026,10.352264054785,18.99316379401,61.3861678438008,0.518069249903462
"10","lessInequality",2015,10,"LTM",4.35764146429962,8.89678583759335,13.9920005826524,21.1241427870401,51.6294293284145,0.427083740812512
"11","lessInequality",2015,11,"OHI",7.14503873364498,12.4554797660874,17.1922431868957,23.0856787787509,40.1215595346211,0.30633297106333
"12","lessInequality",2015,12,"NOA",4.80779218578025,8.74475906269074,13.1972811547531,22.4136020958302,50.8365655009457,0.422905583770944
"13","lessInequality",2025,1,"USA",4.49634056436567,9.99757784785438,15.580332965365,22.9797200492378,46.9460285731771,0.391526083915261
"14","lessInequality",2025,2,"EUR",8.81961170745964,13.552504440353,18.1713818260164,23.2161317611502,36.2403702650207,0.258020578320823
"15","lessInequality",2025,3,"JPN",7.57401810406695,12.8103054510667,17.602559011022,23.9138999649041,38.0992174689403,0.28861598734152
"16","lessInequality",2025,4,"RUS",8.50560456251582,13.0903446848055,17.4253616261133,23.0874404159585,37.891248710607,0.27507354
"17","lessInequality",2025,5,"NRE",5.50861964333008,9.56177788334419,14.6672732967275,23.8146006921263,46.447728484472,0.384524175690483
"18","lessInequality",2025,6,"CHN",6.70657808668194,12.6901165444428,17.6906832258312,23.8898660437891,39.022756099255,0.303328452833577
"19","lessInequality",2025,7,"IND",7.51594312729425,11.3027129096922,15.0438425086102,20.8686959151616,45.2688055392417,0.340286863582788
"20","lessInequality",2025,8,"MEA",4.18757850522157,9.22630204154189,13.7472395409777,22.1873612185609,50.651518693698,0.423555755764442
"21","lessInequality",2025,9,"AFR",3.49039494207178,6.69995723611035,10.6416961331414,19.0233688801897,60.1445828084868,0.502527121949457
"22","lessInequality",2025,10,"LTM",4.82691222037063,9.22988226246555,14.1722405651728,21.0904185034289,50.6805464485621,0.41427123942915
"23","lessInequality",2025,11,"OHI",7.53068757163563,12.6818153731048,17.2764758912888,22.9931084153884,39.5179127485825,0.297142947085712
"24","lessInequality",2025,12,"NOA",5.26355842020684,9.08241629081002,13.4013627201105,22.3411940329553,49.9114685359173,0.410218416613105
"25","lessInequality",2035,1,"USA",4.97583518608632,10.3069311102919,15.717023698395,22.8875637590552,46.1126462461716,0.379417051176682
"26","lessInequality",2035,2,"EUR",9.16539691238357,13.7519115195174,18.2279370272736,23.1166637685373,35.7380907722881,0.250040538500405
"27","lessInequality",2035,3,"JPN",7.95832682249787,13.0326671381471,17.676706670475,23.7928515123813,37.5394478564988,0.279689704812412
"28","lessInequality",2035,4,"RUS",8.86110132862358,13.3040453646569,17.5049896170582,22.9919525680422,37.3379111216191,0.266566102662644
"29","lessInequality",2035,5,"NRE",5.95680666467038,9.88460949519953,14.8322029885813,23.6966233511327,45.6297575004161,0.372631682905267
"30","lessInequality",2035,6,"CHN",7.11771484688766,12.9161954142023,17.7621053941044,23.7695609084142,38.4344234363915,0.2939471
"31","lessInequality",2035,7,"IND",7.90204797902742,11.5717011702172,15.1971257299934,20.8418290311876,44.4872960895745,0.329762502321375
