,scenario,decade,Region,RegionCode,s1,s2,s3,s4,s5,gQuints,gRao
63,Constant,2035,7,IND,6.946666667,10.81777778,14.67111111,20.75444444,46.81,35.86533333,35.544987
64,Constant,2045,7,IND,6.946666667,10.81777778,14.67111111,20.75444444,46.81,35.86533333,35.544987
65,Constant,2055,7,IND,6.946666667,10.81777778,14.67111111,20.75444444,46.81,35.86533333,35.544987
66,Constant,2065,7,IND,6.946666667,10.81777778,14.67111111,20.75444444,46.81,35.86533333,35.544987
67,Constant,2075,7,IND,6.946666667,10.81777778,14.67111111,20.75444444,46.81,35.86533333,35.544987
68,Constant,2085,7,IND,6.946666667,10.81777778,14.67111111,20.75444444,46.81,35.86533333,35.544987
69,Constant,2095,7,IND,6.946666667,10.81777778,14.67111111,20.75444444,46.81,35.86533333,35.544987
70,Constant,2105,7,IND,6.946666667,10.81777778,14.67111111,20.75444444,46.81,35.86533333,35.544987
71,Constant,2015,8,MEA,3.698531603,8.670233482,13.4187957,21.66748681,52.5449524,44.27603797,40.07732107
72,Constant,2025,8,MEA,3.698531603,8.670233482,13.4187957,21.66748681,52.5449524,44.27603797,40.07732107
73,Constant,2035,8,MEA,3.698531603,8.670233482,13.4187957,21.66748681,52.5449524,44.27603797,40.07732107
74,Constant,2045,8,MEA,3.698531603,8.670233482,13.4187957,21.66748681,52.5449524,44.27603797,40.07732107
75,Constant,2055,8,MEA,3.698531603,8.670233482,13.4187957,21.66748681,52.5449524,44.27603797,40.07732107
76,Constant,2065,8,MEA,3.698531603,8.670233482,13.4187957,21.66748681,52.5449524,44.27603797,40.07732107
77,Constant,2075,8,MEA,3.698531603,8.670233482,13.4187957,21.66748681,52.5449524,44.27603797,40.07732107
78,Constant,2085,8,MEA,3.698531603,8.670233482,13.4187957,21.66748681,52.5449524,44.27603797,40.07732107
79,Constant,2095,8,MEA,3.698531603,8.670233482,13.4187957,21.66748681,52.5449524,44.27603797,40.07732107
80,Constant,2105,8,MEA,3.698531603,8.670233482,13.4187957,21.66748681,52.5449524,44.27603797,40.07732107
81,Constant,2015,9,AFR,2.979888486,6.213847028,10.23659947,18.67793078,61.89173423,52.1151101,48.11669136
82,Constant,2025,9,AFR,2.979888486,6.213847028,10.23659947,18.67793078,61.89173423,52.1151101,48.11669136
83,Constant,2035,9,AFR,2.979888486,6.213847028,10.23659947,18.67793078,61.89173423,52.1151101,48.11669136
84,Constant,2045,9,AFR,2.979888486,6.213847028,10.23659947,18.67793078,61.89173423,52.1151101,48.11669136
85,Constant,2055,9,AFR,2.979888486,6.213847028,10.23659947,18.67793078,61.89173423,52.1151101,48.11669136
86,Constant,2065,9,AFR,2.979888486,6.213847028,10.23659947,18.67793078,61.89173423,52.1151101,48.11669136
87,Constant,2075,9,AFR,2.979888486,6.213847028,10.23659947,18.67793078,61.89173423,52.1151101,48.11669136
88,Constant,2085,9,AFR,2.979888486,6.213847028,10.23659947,18.67793078,61.89173423,52.1151101,48.11669136
89,Constant,2095,9,AFR,2.979888486,6.213847028,10.23659947,18.67793078,61.89173423,52.1151101,48.11669136
90,Constant,2105,9,AFR,2.979888486,6.213847028,10.23659947,18.67793078,61.89173423,52.1151101,48.11669136
91,Constant,2015,10,LTM,3.666621988,7.95646408,12.96080078,20.55182987,54.86428328,45.99627535,53.07744585
92,Constant,2025,10,LTM,3.666621988,7.95646408,12.96080078,20.55182987,54.86428328,45.99627535,53.07744585
93,Constant,2035,10,LTM,3.666621988,7.95646408,12.96080078,20.55182987,54.86428328,45.99627535,53.07744585
94,Constant,2045,10,LTM,3.666621988,7.95646408,12.96080078,20.55182987,54.86428328,45.99627535,53.07744585
95,Constant,2055,10,LTM,3.666621988,7.95646408,12.96080078,20.55182987,54.86428328,45.99627535,53.07744585
96,Constant,2065,10,LTM,3.666621988,7.95646408,12.96080078,20.55182987,54.86428328,45.99627535,53.07744585
97,Constant,2075,10,LTM,3.666621988,7.95646408,12.96080078,20.55182987,54.86428328,45.99627535,53.07744585
98,Constant,2085,10,LTM,3.666621988,7.95646408,12.96080078,20.55182987,54.86428328,45.99627535,53.07744585
99,Constant,2095,10,LTM,3.666621988,7.95646408,12.96080078,20.55182987,54.86428328,45.99627535,53.07744585
100,Constant,2105,10,LTM,3.666621988,7.95646408,12.96080078,20.55182987,54.86428328,45.99627535,53.07744585
101,Constant,2015,11,OHI,6.17794758,11.46729962,16.44513296,22.98216268,42.92745717,34.0055529,36.12703754
102,Constant,2025,11,OHI,6.17794758,11.46729962,16.44513296,22.98216268,42.92745717,34.0055529,36.12703754
103,Constant,2035,11,OHI,6.17794758,11.46729962,16.44513296,22.98216268,42.92745717,34.0055529,36.12703754
104,Constant,2045,11,OHI,6.17794758,11.46729962,16.44513296,22.98216268,42.92745717,34.0055529,36.12703754
