"","scenario","decade","Region","RegionCode","s1","s2","s3","s4","s5","gQuints","gRao"
"1","SSP2",2015,1,"USA",3.32,8.685,14.38,22.485,51.175,43.7842970663202,40.736275
"2","SSP2",2025,1,"USA",2.57390586106831,8.04575180617127,14.0292826379668,22.5449134354562,52.8534261342155,46.0015314037421,42.800133
"3","SSP2",2035,1,"USA",2.27119878866925,7.68885025709236,13.8142055673165,22.5316778744923,53.7424680372689,47.0913539833579,43.814602
"4","SSP2",2045,1,"USA",2.11420507255936,7.47365532731089,13.68020466178,22.5132305363844,54.2677464950385,47.7152626580899,44.395382
"5","SSP2",2055,1,"USA",2.02029424369881,7.33337024883872,13.5914226648979,22.4977466038196,54.6066152920764,48.1110169382704,44.763783
"6","SSP2",2065,1,"USA",1.95895219109704,7.23657888808961,13.5295821455058,22.4856473608452,54.8389646377432,48.3795804919972,45.013786
"7","SSP2",2075,1,"USA",1.90948337705528,7.1553444732301,13.4773402240689,22.4746669247797,55.033119313208,48.6023587554438,45.221169
"8","SSP2",2085,1,"USA",1.86101198014439,7.07284095442442,13.4239825611374,22.4627890093214,55.2295601081949,48.826314427353,45.429649
"9","SSP2",2095,1,"USA",1.80587921516607,6.97530646762557,13.3605367586868,22.4478574802059,55.4608740490089,49.0882493011901,45.673485
"10","SSP2",2105,1,"USA",1.77352512501978,6.91614708541359,13.3218699272787,22.4383552009077,55.600718557409,49.2457118338086,45.820068
"11","SSP2",2015,2,"EUR",7.32377037335337,12.3065016827597,17.2948191752861,23.3892975766614,39.6856111919395,30.3225910124296,30.7827409045973
"12","SSP2",2025,2,"EUR",7.09239770172343,12.2005064871135,17.2079721765187,23.46554473791,40.0335788967343,30.8589602563273,31.4739482609924
"13","SSP2",2035,2,"EUR",6.93850277080742,12.1296608174684,17.1389617719827,23.5163198048899,40.2765548348516,31.2251052462039,31.9488674010853
"14","SSP2",2045,2,"EUR",6.85799155816406,12.1006605948093,17.0961394556907,23.5436531528224,40.4015552385136,31.4120479674848,32.1981716744119
"15","SSP2",2055,2,"EUR",6.81879916029131,12.0969276146933,17.0718178196384,23.5551757329276,40.4572796724495,31.4940836570203,32.3153006491826
