"","scenario","decade","Region","RegionCode","s1","s2","s3","s4","s5","gQuints","gRao"
"1","SSP2",2015,1,"USA",4.01684594264502,9.68822458541689,15.4436422323351,23.0718763394204,47.7794109001826,40.3635126676315,40.736275
"2","SSP2",2025,1,"USA",3.28347999990981,9.11485479934792,15.1618642708483,23.1765743624899,49.263226567404,42.4084850792521,42.800133
"3","SSP2",2035,1,"USA",2.97371706267344,8.79920998634972,14.9895485370271,23.1942270788125,50.0432973351371,43.4136710549561,43.814602
"4","SSP2",2045,1,"USA",2.80971590642536,8.60961305012007,14.8820070037762,23.1954418273943,50.5032222122841,43.9891365555967,44.395382
"5","SSP2",2055,1,"USA",2.71040689024859,8.48620079889044,14.81064422483,23.1930654511882,50.7996826348427,44.3541664565944,44.763783
"6","SSP2",2065,1,"USA",2.64502103354071,8.40111328729221,14.7608783443329,23.1901148823875,51.0028724524468,44.6018817731629,45.013786
"7","SSP2",2075,1,"USA",2.59198060639647,8.32973226562189,14.7187973943522,23.1868682655369,51.1726214680925,44.8073670893228,45.221169
"8","SSP2",2085,1,"USA",2.53973164196221,8.25725896949345,14.6757791593709,23.1828897868083,51.3443404423651,45.0139393672483,45.429649
"9","SSP2",2095,1,"USA",2.47995657933257,8.17160512136438,14.6245756388025,23.1773467516853,51.5465159088152,45.2555441157145,45.673485
"10","SSP2",2105,1,"USA",2.44470177618294,8.11966115122297,14.5933416227484,23.1735617215809,51.6687337282647,45.4007857898086,45.820068
"11","SSP2",2015,2,"EUR",8.47382650253571,13.3530973611887,18.1148266247592,23.3155997537631,36.7426497577533,26.6000595612038,30.7827409045973
"12","SSP2",2025,2,"EUR",8.2743062071838,13.2758193246885,18.0627078149971,23.3705253099749,37.0166413431557,27.0317505028921,31.4739482609924
"13","SSP2",2035,2,"EUR",8.13672436921856,13.2266012519666,18.0217062516332,23.4179438096944,37.1970243174872,27.324776981706,31.9488674010853
"14","SSP2",2045,2,"EUR",8.05817406592147,13.2108607222317,17.9963396436181,23.4520466448971,37.2825789233316,27.4759982549943,32.1981716744119
"15","SSP2",2055,2,"EUR",8.0142125140534,13.215177712493,17.9853269718326,23.4717028537267,37.3135799478944,27.5421040035663,32.3153006491826
"16","SSP2",2065,2,"EUR",7.99774098748994,13.2366700305228,17.9839259477885,23.4714860195301,37.3101770146687,27.5438752173459,32.3286658502548
