CountryA3,studyyear,Type,Exp.Inc,Q1FS,Q2FS,Q3FS,Q4FS,Q5FS,Study,Region,Country,pcGDP2014db,pcGDP,distyear,q1,q2,q3,q4,q5,e1,e2,e3,e4,e5,i1,i2,i3,i4,i5,costS1,costS2,costS3,costS4,costS5,ei1,ei2,ei3,ei4,ei5,Revision
USA,2010,IO,Inc,3.14,1.85,1.38,1.04,0.74,Mathur & Morris 2014,USA,USA,43952.44649,44284.0763,2010,4.66,9.911428571,15.35857143,23.01,47.07857143,5.116244628,10.38345193,15.77637254,23.14540893,45.59280768,4.66,9.911428571,15.35857143,23.01,47.07857143,12.95683341,16.23645802,18.76779359,21.19011278,30.8488022,4.66,9.911428571,15.35857143,23.01,47.07857143,0
USA,2011,CGE,Inc,2.46,1.66,1.39,1.19,0.99,Cullenward et al 2016,USA,USA,44439.4091,44648.21432,2011,3.325,8.72,14.525,22.88,50.55,3.325,8.72,14.525,22.88,50.55,3.325,8.72,14.525,22.88,50.55,6.809658818,12.0510023,16.80852242,22.66739319,41.66342328,3.325,8.72,14.525,22.88,50.55,0
USA,2010,Direct,Inc,1.05,0.71,0.57,0.47,0.23,Williams et al 2015,USA,USA,43952.44649,44284.0763,2010,4.66,9.911428571,15.35857143,23.01,47.07857143,5.116244628,10.38345193,15.77637254,23.14540893,45.59280768,4.66,9.911428571,15.35857143,23.01,47.07857143,11.55992304,16.62548529,20.68261293,25.55019408,25.58178466,4.66,9.911428571,15.35857143,23.01,47.07857143,0
USA,2013,CGE,Exp,0.53,0.46,0.43,0.36,0.31,Goulder et al 2019,USA,USA,45840.74215,45840.74215,2013,4.323333333,9.472222222,14.99555556,22.74888889,48.46222222,4.678611519,9.836481311,15.32160345,22.86205553,47.3023593,4.323333333,9.472222222,14.99555556,22.74888889,48.46222222,6.796056855,12.40114401,18.05663509,22.55703037,40.18913367,4.678611519,9.836481311,15.32160345,22.86205553,47.3023593,0
CYP,2003,Direct,Exp,8.6,11.5,13.4,13.7,20,Berri et al 2014,EU,Cyprus,23630.26688,25464.62386,2004,8.78,12.98,16.98,22.3,38.95,10.35573601,14.11491041,17.77648594,22.30492254,35.44794509,8.78,12.98,16.98,22.3,38.95,5.921017485,10.79177514,15.83680735,20.31600018,47.13439983,10.35573601,14.11491041,17.77648594,22.30492254,35.44794509,0
DNK,2005,Direct,Exp,7.6,11.9,13.4,15.8,25.1,Berri et al 2014,EU,Denmark,33193.23729,41981.17456,2005,9.67,14.89,18.465,22.7,34.225,11.3171542,16.06620672,19.18098166,22.52888895,30.90676846,9.67,14.89,18.465,22.7,34.225,5.162874198,11.47627719,15.42823856,21.36670619,46.56590386,11.3171542,16.06620672,19.18098166,22.52888895,30.90676846,0
FRA,1992,IO,Exp,8.48,7.7,6.85,6.07,5.03,Davies et al 2014,EU,France,24639.17666,27992.6462,1994,8.216666667,12.82166667,16.91166667,22.40833333,39.64333333,8.721101856,13.2033171,17.18210287,22.41523179,38.47657972,7.781344166,12.44360843,16.61493675,22.34963986,40.81547079,11.87238697,16.32091907,18.89460072,21.84252078,31.06957246,8.721101856,13.2033171,17.18210287,22.41523179,38.47657972,0
FRA,2004,IO,Inc,0.5,0.32,0.28,0.24,0.16,Bureau 2011,EU,France,29142.93536,33714.02028,2004,8.725,13.355,17.24,22.365,38.315,10.27979931,14.50703446,18.02981479,22.34728635,34.8360651,8.725,13.355,17.24,22.365,38.315,17.47705448,17.12090316,19.33873636,21.50368771,24.55961829,8.725,13.355,17.24,22.365,38.315,0
FRA,2012,IO,Inc,0.7,0.55,0.51,0.43,0.34,Berry 2019,EU,France,29818.99757,34954.01562,2012,8.275,12.945,16.675,21.69,40.41,9.782046515,14.10919,17.497785,21.7460375,36.86494099,8.275,12.945,16.675,21.69,40.41,13.02194566,16.00569661,19.11814957,20.96707477,30.8871334,8.275,12.945,16.675,21.69,40.41,0
FRA,2006,Direct,Inc,1.05,0.85,0.825,0.65,0.5,Sterner 2012,EU,France,29969.53072,34608.42643,2006,8.83,13.62,17.505,22.52,37.475,10.39522435,14.78342438,18.29254686,22.48431778,34.04448664,8.83,13.62,17.505,22.52,37.475,13.5023893,16.8599645,21.03181177,21.31779912,27.28803532,8.83,13.62,17.505,22.52,37.475,0
