CountryA3,studyyear,Type,Exp.Inc,Q1FS,Q2FS,Q3FS,Q4FS,Q5FS,Study,Region,Country,pcGDP2014db,pcGDP,distyear,q1,q2,q3,q4,q5,e1,e2,e3,e4,e5,i1,i2,i3,i4,i5,costS1,costS2,costS3,costS4,costS5,ei1,ei2,ei3,ei4,ei5,Revision
CHE,2007,EMI,Inc,5,5.15,5.9,6.5,7.85,Bruderer Enzler & Diekmann 2019,EU,Switzerland,39223.88939,52830.96974,2007,7.711666667,12.575,16.72333333,22.325,40.68166667,8.643983682,13.34204625,17.29066927,22.3835122,38.3397886,7.711666667,12.575,16.72333333,22.325,40.68166667,16.44736842,16.94078947,19.40789474,21.38157895,25.82236842,7.711666667,12.575,16.72333333,22.325,40.68166667,1
USA,2010,IO,Exp,0.925,1.005,0.965,0.99,0.95,Cronin et al 2018,USA,USA,43952.44649,44284.0763,2010,4.66,9.911428571,15.35857143,23.01,47.07857143,5.116244628,10.38345193,15.77637254,23.14540893,45.59280768,4.66,9.911428571,15.35857143,23.01,47.07857143,4.898121121,10.80051102,15.7569063,23.71573225,44.82872931,5.116244628,10.38345193,15.77637254,23.14540893,45.59280768,1
FRA,2011,IO,Inc,0.535,0.36,0.34,0.2925,0.235,Douenne 2018,EU,France,29963.12101,35013.96404,2011,8.255,12.855,16.62,21.675,40.645,9.756265328,14.00823189,17.43666634,21.72693883,37.07189761,8.255,12.855,16.62,21.675,40.645,14.43911394,15.13018595,18.47479467,20.72786925,31.22803619,8.255,12.855,16.62,21.675,40.645,1
CHN,2005,EMI,Inc,1.1725,1.5985,2.038,2.6035,4.296,Golley & Meng 2012,China,China,4114.572834,4303.397743,2005,6.873333333,11.14666667,15.57666667,22.01666667,44.38333333,6.873333333,11.14666667,15.57666667,22.01666667,44.38333333,5.730363295,10.07831311,14.62724408,21.6360288,47.92805071,10.01409233,13.6524747,17.40615792,22.23598241,36.69129265,5.730363295,10.07831311,14.62724408,21.6360288,47.92805071,1
NLD,2000,IO,Inc,6.55,5.7,5.45,5,4.25,Kerkhof 2008,EU,Netherlands,33690.78287,38759.10253,2000,10,15,18,23,35,11.58514489,16.02174102,18.5095452,22.59637155,31.28719734,10,15,18,23,35,12.77176562,16.67154139,19.12840012,22.42371064,29.00458224,10,15,18,23,35,1
MEX,2006,EMI,Inc,1.7,3.05,4.1,5.45,7.75,Rosas et al 2010,LatAm,Mexico,12462.22244,14925.02002,2006,4.574,8.664,12.926,19.656,54.2,5.340074463,9.474405791,13.70860008,20.09293865,51.38398101,4.402147137,8.471007411,12.73084807,19.52986046,54.88613692,7.709750567,13.83219955,18.59410431,24.71655329,35.14739229,4.402147137,8.471007411,12.73084807,19.52986046,54.88613692,1
ESP,2010,EMI,Exp,125,185,235,290,445,Roca & Serrano,EU,Spain,26615.76497,30419.04034,2010,6.28,12.33,17.2175,23.59,40.58,7.454104246,13.49318583,18.13969271,23.74540434,37.16761287,6.28,12.33,17.2175,23.59,40.58,9.765625,14.453125,18.359375,22.65625,34.765625,7.454104246,13.49318583,18.13969271,23.74540434,37.16761287,1
AUT,2009,Direct,Exp,1.93,2.045,2.125,1.955,1.7,Flues & Thomas 2015,EU,Austria,34690.50096,41741.46305,2009,8.24,13.615,17.675,22.555,37.92,9.707395421,14.78909293,18.48498027,22.53804248,34.48048891,8.24,13.615,17.675,22.555,37.92,9.812215534,15.83951575,20.57240074,23.07650342,30.69936457,9.707395421,14.78909293,18.48498027,22.53804248,34.48048891,1
BEL,2010,Direct,Exp,1.4,1.74,1.73,1.57,1.26,Flues & Thomas 2015,EU,Belgium,32842.35822,39056.36873,2010,8.83,14.02,17.995,22.82,36.33,10.37400002,15.18679424,18.76597701,22.73641814,32.93681058,8.83,14.02,17.995,22.82,36.33,9.64316391,17.54529303,21.55572089,23.70101629,27.55480589,10.37400002,15.18679424,18.76597701,22.73641814,32.93681058,1
CHE,2011,Direct,Exp,1.17,1.315,1.16,1.105,0.9,Flues & Thomas 2015,EU,Switzerland,39301.117,52750.90011,2011,8.205,13.02,17.19,22.565,38.965,9.690330193,14.17723304,18.02063141,22.60097967,35.51082569,8.205,13.02,17.19,22.565,38.965,10.51552907,17.29115174,19.38807468,23.16307608,29.64216844,9.690330193,14.17723304,18.02063141,22.60097967,35.51082569,1
CHL,2012,Direct,Exp,0.195,0.39,0.69,1,1.25,Flues & Thomas 2015,LatAm,Chile,15847.55026,18366.32881,2013,5.178333333,9.131666667,13.09333333,19.30666667,53.27166667,6.261617688,10.18044165,14.05320164,19.79813877,49.70660025,5.178333333,9.131666667,13.09333333,19.30666667,53.27166667,1.261125731,4.100798724,10.01524542,20.4485064,64.17432372,6.261617688,10.18044165,14.05320164,19.79813877,49.70660025,1
CZE,2010,Direct,Exp,1.625,1.895,2.085,2.32,2.105,Flues & Thomas 2015,EU,Czech Republic,23722.02781,27256.18303,2010,9.335,14.15166667,17.575,22.225,36.71166667,10.44426686,14.93408596,18.05597456,22.13906583,34.42660678,9.335,14.15166667,17.575,22.225,36.71166667,8.208940787,13.68811543,18.20886145,24.8429448,35.05113754,10.44426686,14.93408596,18.05597456,22.13906583,34.42660678,1
DEU,2008,Direct,Exp,1.85,2.47,2.43,2.35,1.79,Flues & Thomas 2015,EU,Germany,33828.87411,38699.73161,2008,7.93,12.785,16.82333333,22.36,40.1,8.933938146,13.56022363,17.36275679,22.36843634,37.77631176,7.93,12.785,16.82333333,22.36,40.1,7.781499706,15.76930092,19.86431489,24.74868477,31.83619972,8.933938146,13.56022363,17.36275679,22.36843634,37.77631176,1
ESP,2010,Direct,Exp,1.645,1.8,1.79,1.695,1.39,Flues & Thomas 2015,EU,Spain,26615.76497,30419.04034,2010,6.28,12.33,17.2175,23.59,40.58,7.454104246,13.49318583,18.13969271,23.74540434,37.16761287,6.28,12.33,17.2175,23.59,40.58,7.619404651,15.09199599,20.1763513,25.00972671,32.10252135,7.454104246,13.49318583,18.13969271,23.74540434,37.16761287,1
EST,2010,Direct,Exp,0.805,1.25,1.745,2.14,2.49,Flues & Thomas 2015,EU,Estonia,16652.00857,21298.86633,2010,7.3825,12.965,17.0825,23.1125,39.4575,8.731978674,14.13866523,17.93452279,23.18309448,36.01173882,7.3825,12.965,17.0825,23.1125,39.4575,3.599582939,9.050280977,16.02613861,25.40556259,45.91843488,8.731978674,14.13866523,17.93452279,23.18309448,36.01173882,1
FIN,2012,Direct,Exp,1.47,1.94,2.125,2.19,1.79,Flues & Thomas 2015,EU,Finland,31611.39514,37415.14976,2012,9.52,14.135,17.775,22.485,36.08,11.16879862,15.28906314,18.50958048,22.37047403,32.66208372,9.52,14.135,17.775,22.485,36.08,8.51261655,15.37877985,20.39364175,25.40145405,30.31350779,11.16879862,15.28906314,18.50958048,22.37047403,32.66208372,1
FRA,2011,Direct,Exp,1.695,1.905,2.045,1.84,1.575,Flues & Thomas 2015,EU,France,29963.12101,35013.96404,2011,8.255,12.855,16.62,21.675,40.645,9.756265328,14.00823189,17.43666634,21.72693883,37.07189761,8.255,12.855,16.62,21.675,40.645,9.329879364,15.05570253,20.11775397,22.55480557,32.94185856,9.756265328,14.00823189,17.43666634,21.72693883,37.07189761,1
GBR,2010,Direct,Exp,2.24,3.26,3.58,3.345,2.535,Flues & Thomas 2015,EU,United Kingdom,32516.61293,34291.59752,2010,7.08,11.775,16.22666667,22.29833333,42.62,7.997686649,12.53382662,16.80890143,22.38793119,40.26998744,7.08,11.775,16.22666667,22.29833333,42.62,6.053878073,13.80773839,20.33497413,25.30645735,34.49695205,7.997686649,12.53382662,16.80890143,22.38793119,40.26998744,1
GRC,2010,Direct,Exp,1.065,1.73,1.815,1.8,1.635,Flues & Thomas 2015,EU,Greece,23997.31556,27630.79948,2010,6.816666667,12.26,17.06,22.88166667,40.98,7.673652445,13.03074363,17.65747215,22.95765769,38.68047408,6.816666667,12.26,17.06,22.88166667,40.98,4.884016815,13.47226824,19.15272516,24.69593643,37.79505335,7.673652445,13.03074363,17.65747215,22.95765769,38.68047408,1
HUN,2010,Direct,Exp,1.11,1.5,1.78,2.15,2.41,Flues & Thomas 2015,EU,Hungary,16958.29498,19925.07066,2010,9.085,14.115,18.075,22.81,35.96,10.65443982,15.26530953,18.82207805,22.6958662,32.5623064,9.085,14.115,18.075,22.81,35.96,6.049356001,11.71257588,17.13732828,24.95978075,40.14095908,10.65443982,15.26530953,18.82207805,22.6958662,32.5623064,1
IRL,2004,Direct,Exp,1.555,2.045,2.065,1.94,1.57,Flues & Thomas 2015,EU,Ireland,37345.03311,44770.65499,2004,7.233333333,11.775,16.49166667,22.57166667,41.945,8.170820299,12.52621143,17.06397005,22.63482965,39.60416856,7.233333333,11.775,16.49166667,22.57166667,41.945,7.072474542,14.25897773,19.61442027,24.44298834,34.61113912,8.170820299,12.52621143,17.06397005,22.63482965,39.60416856,1
ITA,2010,Direct,Exp,2.625,2.775,2.705,2.56,2.055,Flues & Thomas 2015,EU,Italy,27059.09553,34865.29301,2010,7.588333333,13.06666667,17.51333333,23.105,38.73,8.427407492,13.84210254,18.11121397,23.18039903,36.44054363,7.119248207,12.68106849,17.23319458,23.08540483,39.88275057,9.075604386,15.75858811,20.09865917,24.34518772,30.72196062,8.427407492,13.84210254,18.11121397,23.18039903,36.44054363,1
LUX,2010,Direct,Exp,1.03,1.11,0.95,0.895,0.685,Flues & Thomas 2015,EU,Luxembourg,67742.46093,88017.11572,2010,8.36,12.92166667,17.29,22.955,38.47333333,9.37970839,13.67872677,17.82036169,22.93607226,36.18513089,8.36,12.92166667,17.29,22.955,38.47333333,11.09343654,17.43444776,19.43925702,23.57119636,28.46166231,9.37970839,13.67872677,17.82036169,22.93607226,36.18513089,1
NLD,2004,Direct,Exp,2.09,2.09,2.41,2.315,2.095,Flues & Thomas 2015,EU,Netherlands,34480.9681,39710.87241,2004,8.266,13.282,17.232,22.51,38.718,9.181380877,13.98089905,17.70394975,22.48885618,36.64691415,8.266,13.282,17.232,22.51,38.718,8.725775525,13.28712841,19.40157367,23.67380733,34.91171507,9.181380877,13.98089905,17.70394975,22.48885618,36.64691415,1
POL,2010,Direct,Exp,1.4,1.6,1.85,1.95,1.96,Flues & Thomas 2015,EU,Poland,17372.27207,19498.41755,2010,7.794285714,12.54571429,16.75142857,22.39857143,40.50857143,8.587214624,13.20590626,17.24262837,22.44876262,38.51548813,7.23497068,12.06752805,16.36479371,22.29751878,42.03376021,6.522553557,11.46371798,17.30662952,23.75003858,40.95706037,8.587214624,13.20590626,17.24262837,22.44876262,38.51548813,1
SLV,2010,Direct,Exp,1.9,1.935,2.385,2.445,2.01,Flues & Thomas 2015,EU,Slovenia,5953.333736,5948.469353,2010,5.135,9.655,14.3875,21.5475,49.32,6.175749759,10.7063352,15.36015971,21.97949947,45.77825586,5.135,9.655,14.3875,21.5475,49.32,5.461733474,9.642930088,17.05184307,25.01404195,42.82945142,6.175749759,10.7063352,15.36015971,21.97949947,45.77825586,1
SVK,2010,Direct,Exp,1.64,1.89,1.975,2.015,1.95,Flues & Thomas 2015,EU,Slovak Republic,20265.01236,21209.18574,2010,8.74,14.25666667,18.02166667,22.76166667,36.22333333,9.763366117,15.04759472,18.52753686,22.68999998,33.97316899,8.74,14.25666667,18.02166667,22.76166667,36.22333333,8.295825087,14.73482741,18.958368,23.68785354,34.32312596,9.763366117,15.04759472,18.52753686,22.68999998,33.97316899,1
TUR,2010,Direct,Exp,1.06,1.43,1.635,1.95,2.51,Flues & Thomas 2015,EU,Turkey,12671.11386,16304.2003,2010,5.84,10.686,15.336,22.028,46.11,6.756556762,11.56466908,16.09886856,22.29269954,43.28320605,5.641219176,10.47061187,15.13917207,21.94114657,46.81185031,3.543192457,8.181495493,13.02196607,21.5060535,53.74729247,6.756556762,11.56466908,16.09886856,22.29269954,43.28320605,1
TWN,1996,CGE,Inc,1.149,0.829,0.777,0.839,0.949,Yang & Wang 2002,Other non-OECD Asia,Taiwan,NA,22361.23352,1996,7.22,13,17.5,23.38,38.89,8.536953215,14.17183328,18.36646288,23.44334679,35.48140382,7.22,13,17.5,23.38,38.89,9.300961928,12.08282605,15.24508001,21.99262698,41.37850504,7.22,13,17.5,23.38,38.89,1
MEX,2010,IO,Inc,0.01035,0.00925,0.009,0.0095,0.008,Rosa-Flores et al 2017,LatAm,Mexico,12412.4785,14493.65974,2010,4.686666667,9.184444444,13.58666667,20.55111111,51.98444444,5.298145962,9.870633896,14.24946698,20.91758489,49.6675016,4.376008049,8.841805614,13.25741857,20.36877223,53.14599553,5.23563053,9.454383725,13.79278629,22.36860944,49.14859002,4.376008049,8.841805614,13.25741857,20.36877223,53.14599553,1
USA,2003,EMI,Inc,4.7,7.1,9.2,11.4,18.5,Shammin & Bullard 2009,USA,USA,42077.92452,42011.73886,2003,3.625,9.11,15,23.12,49.19,3.625,9.11,15,23.12,49.19,3.625,9.11,15,23.12,49.19,9.233791749,13.94891945,18.07465619,22.39685658,36.34577603,3.625,9.11,15,23.12,49.19,1
