"","scenario","decade","Region","RegionCode","s1","s2","s3","s4","s5","gQuints","gRao"
"1","SSP3",2015,1,"USA",4.01684594264502,9.68822458541689,15.4436422323351,23.0718763394204,47.7794109001826,40.3635126676315,40.937237
"2","SSP3",2025,1,"USA",3.15090451789145,8.98606285214169,15.0926861780825,23.1864085092513,49.583937942633,42.8265650026371,43.435299
"3","SSP3",2035,1,"USA",2.70036021593493,8.473330090508,14.8031449908644,23.1926855727352,50.8304791299575,44.3918373241089,45.02282
"4","SSP3",2045,1,"USA",2.35331427464383,7.97982901438855,14.5086165361094,23.1618755533366,51.9963646215216,45.7872588930815,46.438076
"5","SSP3",2055,1,"USA",2.04499201420351,7.44538749193326,14.1772992948658,23.0997793599777,53.2325418390197,47.2117966070707,47.882862
"6","SSP3",2065,1,"USA",1.77434830438565,6.8777652312168,13.8150142217613,23.0096483222685,54.5232239203678,48.6518537292064,49.343388
"7","SSP3",2075,1,"USA",1.53708580017692,6.27954082060322,13.424418495673,22.894243783001,55.8647111005458,50.1079814252542,50.820213
"8","SSP3",2085,1,"USA",1.32770993796712,5.64750846392108,13.0041917897899,22.7547444176201,57.2658453907018,51.5934027436673,52.326748
"9","SSP3",2095,1,"USA",1.14393647175057,4.98498361990909,12.5571574934479,22.5933214263709,58.7206009885215,53.1046667360015,53.859493
"10","SSP3",2105,1,"USA",1.06072016816907,4.64247570075112,12.3238950271429,22.5048529508102,59.4680561531268,53.8708196879898,54.636536
"11","SSP3",2015,2,"EUR",8.47382650253571,13.3530973611887,18.1148266247592,23.3155997537631,36.7426497577533,26.6000595612038,30.9591043147232
"12","SSP3",2025,2,"EUR",8.12800624774726,13.170620161863,18.0077260015335,23.4133592279126,37.2802883609437,27.418921316977,32.233874108057
"13","SSP3",2035,2,"EUR",7.79330214479139,12.9615090235452,17.8801231695735,23.5132557480744,37.8518099140156,28.267504905191,33.5302774842275
"14","SSP3",2045,2,"EUR",7.44298491602491,12.735618132879,17.7480406695454,23.599459257008,38.4738970245427,29.1702661364658,34.8667332928897
"15","SSP3",2055,2,"EUR",7.06578147195708,12.4888074834434,17.579749214354,23.6857284222127,39.1799334080328,30.1700899243683,36.3274971210836
"16","SSP3",2065,2,"EUR",6.68148090997702,12.2136973655,17.3588798972472,23.7753516048218,39.9705902224539,31.2559491457103,37.8912281453351
"17","SSP3",2075,2,"EUR",6.29650749724893,11.9204983608722,17.1103279228065,23.8412788996206,40.8313873194518,32.3962160732617,39.5196646016779
"18","SSP3",2085,2,"EUR",5.91906667951593,11.5903278504827,16.8534343348791,23.8854992528912,41.751671882231,33.5841527231355,41.1967431587824
"19","SSP3",2095,2,"EUR",5.55519988017562,11.2084434222313,16.60462516654,23.8954669932234,42.7362645378297,34.8196611545201,42.9070281864455
"20","SSP3",2105,2,"EUR",5.38021363632368,11.0025491159578,16.4820494350514,23.8868308531619,43.2483569595052,35.4482273534269,43.7681962401933
"21","SSP3",2015,3,"JPN",7.18970938563603,12.5879437639863,17.5284113515691,24.0349484174269,38.6589870813817,29.7542240179727,32.1684173635
"22","SSP3",2025,3,"JPN",6.85376067141755,12.3834738149258,17.4566294547409,24.137915107598,39.1682209513178,30.5533447409891,33.0323770126
"23","SSP3",2035,3,"JPN",6.55276196558148,12.1820473088777,17.3797323427967,24.2250217269123,39.6604366558318,31.3033295194141,33.8432139329
"24","SSP3",2045,3,"JPN",6.28350944739553,11.9858942368381,17.2999208603793,24.2984307346121,40.132244720775,32.0040028178132,34.6007383464
"25","SSP3",2055,3,"JPN",6.00186575819374,11.7630821742747,17.2042651626586,24.3702384573759,40.660548447497,32.7698086646831,35.4286800224
"26","SSP3",2065,3,"JPN",5.71244876597749,11.5135405353345,17.0917630778912,24.4382158359196,41.2440317848772,33.5951365353538,36.3209732104
"27","SSP3",2075,3,"JPN",5.42778278534048,11.24566076106,16.9656213058155,24.4987413273364,41.8621938204477,34.4487610545963,37.2438589758
"28","SSP3",2085,3,"JPN",5.1555288136932,10.9664267535274,16.8290790511651,24.5501224144875,42.4988429671268,35.3081295871309,38.1729548113
"29","SSP3",2095,3,"JPN",4.92421091698561,10.7096399640006,16.699580002281,24.5882598064542,43.0783093102786,36.0747266516158,39.0017519026
